ja,zh
えへへ、準備ならいつでもオッケーだよ☆\n何でも来いってカンジかなっ,에헤헤、준비라면 언제라도 오케이야☆\n뭐든지 오란 느낌일까
甘奈、絶好調ー！\nこれもプロデューサーさんのおかげかな,아마나、절호조─! \n이것도 프로듀서씨 덕분일까
プロデューサーさん！　甘奈、いい服見つけたんだ！\n今度見てほしいな！,프로듀서씨! 아마나、좋은 옷 찾았어! \n이번에 봐주길 원하는데!
えへへ、今日のネイル、イイ感じじゃない？\nねえねえ、どうかな？,에헤헤、오늘의 네일、좋은 느낌 아냐? \n응、어떨까?
最近ね、甜花ちゃん楽しそうなんだよ！,최근에、텐카쨩 즐거운 듯 해!
甘奈にはいいけど、甜花ちゃんはビックリしちゃうから\n気を付けてあげてね～,아마나는 좋지만、텐카쨩은 깜짝 놀라버리기 때문에\n조심해 줘~
プロデューサーさん！　何々どうしたの～？\n甘奈、気になっちゃうよ～,프로듀서씨! 무슨 일이야~? \n아마나、신경 쓰여버린다~
気楽に声かけてくれていいよ\nプロデューサーさんと甘奈の仲だもん☆,마음 편하게 말 걸어도 좋아\n프로듀서씨와 아마나의 사이는☆
めっ！　こーゆーこと\n甜花ちゃんにはしたらダメだからね！,째! 이런 일\n텐카쨩에게는 하면 안되니까!
プロデューサーさん\n甘奈、こういうことは……あんまり……,프로듀서씨\n아마나、이런 일은… 별로…
もう、ほどほどにしないとダメだぞっ！,이젠、적당히 하지 않으면 안되!
プロデューサーさん\n……ふふ、とっても眠そう,프로듀서씨\n…… 후후、매우 졸린 것 같다
プロデューサーさん……\nもう、また裾がほつれちゃってますよ？,프로듀서씨……\n벌써、또 옷자락이 흐트러져 있어요?
プロデューサーさん\n今日も応援してくださいね！,프로듀서씨\n오늘도 응원해 주세요!
プロデューサーさん\nお茶にしませんか〜？,프로듀서씨\n차 한 잔 하지 않겠습니까~?
プロデューサーさ〜ん……\nもう……からかわないでください〜,프로듀서씨…\n이제… 놀리지 말아주세요~
プロデューサーさん\nふふ、だーれだ？,프로듀서씨\n후후、누구게?
ふふ、くすぐったいです～\nめっ、ですよ？,후후、낯간지럽습니다~\n에、다요?
もう、いたずらするのはどの子ですか,지금、장난하는 건 어떤 아이입니까
ふふ、プロデューサーさんは\n甘えん坊さんなんですか？,후후、프로듀서씨는\n응석꾸러기입니까?
もう……！　今回だけは、内緒にしてあげます,뭐……! 이번만은、비밀로 해 줍니다
こらこら、だめですよ\n……だーめ！,이거이거、안됩니다 \n…… 안돼!
こ〜ら、他の子にしちゃだめですよ？,이거、다른 아이에겐 해선 안됩니다?
アイドル……楽しいから……\nなんでも、できるよ……,아이돌… 즐겁기 때문에…\n뭐든지、할 수 있다…
今日の甜花……\nやる気、いっぱい……！,오늘의 텐카……\n의욕、가득……!
にへへ……甜花……お仕事も、レッスンも頑張るね……,니헤헤… 텐카… 영업도、레슨도 노력해요…
プロデューサーさん……甜花は、ここにいるよ……,프로듀서씨… 텐카는、여기에 있어…
えっと……待ってるあいだ、ダンスの勉強……\nしようかな……,엣또… 기다리는 중、댄스 공부…\n할까나……
お仕事まで……\nネット……見てようかな……,영업까지…\n인터넷… 보고 있어야지…
にへへ……\nく、くすぐったい……,에헤헤…\n나、낯간지럽다…
こ、こういうの……なーちゃん以外だと……\nき、緊張する……,이、이런 것… 나쨩 아니면…\n기、긴장된다…
えへへ……マッサージ……？\nき、気持ちいいかも……,에헤헤… 맛사지…? \n와、기분 좋을지도…
え、えっと……\nプロデューサーさん……\n甜花に……触りたいの……？,에、엣또…\n프로듀서씨…\n텐카에게… 손대고 싶은거야…?
あう……なーちゃんも、そんなとこ……触らないよ……,아우… 나쨩도、그런 곳… 손대지 않아…
え、えっと…………\nプロデューサーさん……楽しいの……？,에、엣또……\n프로듀서씨… 즐거운거야……?
今日は\nけっこう調子良いかもな\nまあ、頑張ろうぜ,오늘은\n꽤 상태 좋을지도\n뭐、노력하자구
今日も頼りにしてるぜ\nプロデュ－サ－,오늘도 의지하고 있어\n프로듀서
アタシなりの\nアイドルってやつを目指して\n今日も頑張るか,나나름의\n아이돌이라는 녀석을 목표로 해\n오늘도 노력할까
ボ－っとして大丈夫か？\n最近忙しいもんな\n疲れてるなら言えよ？,멍하니 괜찮은가? \n최근 바빠서\n지치고 있다면 말해?
この間のライブ大成功だった\nな！　これもプロデューサー\nのお陰なんだぜ？,이전의 라이브 대성공이었어\n! 이것도 프로듀서\n덕분인 걸까?
最近ダンスのキレが\nいい感じなんだ,최근 댄스의 기민함이\n좋은 느낌이야
ちょっ、おい\n……くすぐって－んだけど？,춋、어이 \n…… 간지르는거─지만?
お、丁度いいな\n最近、筋肉痛だったんだよ,오、꼭 좋다\n최근、근육통이었던 거야
そういや、試合の後とかも\nこうしてマッサ－ジしてもらってたな…,그러고 보면、시합 후에도\n이렇게 마사지 받았지…
……今回だけは見逃してやる\n本当はダメなんだかんな！,…… 이번 만은 눈감아준다\n사실은 안 되니까!
あ、アンタの手って……\nその……意外と温かいんだな,아、너의 손……\n그…… 의외로 따뜻하다
分かってるって\n一番大事なのは心って、\nことなんだろ？,알고 있는데\n제일 소중한 것은 마음\n인 것이지?
アナタと一緒なら\nどんなお仕事も完璧にこなせる気がするわ！,당신과 함께라면\n어떤 일이라도 완벽하게 해낼 수 있을 것 같아요!
プロデューサー、今日もレッスンに付き合ってくれるわよね？,프로듀서、오늘도 레슨에 함께해주는 거죠?
お疲れ様、プロデューサー\n今日も頑張っていくわよ！,수고해요、프로듀서\n오늘도 힘내자구요!
ほら、早くしなさい！\nプロデューサーがいてくれなきゃ、始まらないじゃない,자、서둘러요! \n프로듀서가 없으면、시작할 수가 없잖아요
何よ、ボーっとして\n一緒にレッスンに行くわよ？,뭐해요、멍하니 서서\n같이 레슨 하러 가죠?
……プロデューサーには、感謝してるのよ？,…프로듀서에겐、감사하고 있다구요?
うふふっ、ちょっと！\nくすぐったいわ！,우후훗、잠깐! \n간지러워요!
あら、プロデューサー\nどうしたの？,어머、프로듀서\n무슨 일이에요?
どう？　鍛えてるのがよくわかるでしょう？,어때요? 단련하고 있단 걸 잘 알 수 있겠죠?
きゃっ！\nもう……\nなんてことするのよ……,꺄!\n정말……\n무슨 짓을 하는거예요…
……ちょ、ちょっと！\nやめなさいったら！,……자、잠깐!\n그만하라구요!
……は、恥ずかしいから、やめて頂戴っ,……...부、부끄러우니까、그만해욧.
お疲れ様です！\nプロデューサーさんっ\n今日も頑張りますねっ,수고하십니다! \n프로듀서씨\n오늘도 힘낼께요
プロデューサーさん！\n最近お仕事が楽しいんですっ,프로듀서씨! \n최근 일이 즐겁습니닷
今日も元気です！　むんっ\nプロデューサーさんはお元気ですか？,오늘도 힘냅니다! 응\n프로듀서씨 안녕하세요?
プロデューサーさーんっ\n私、待ってますよっ,프로듀서씨\n나、기다리고 있어요
えっと、早くしないと\nレッスンの時間になっちゃいますっ,엣또、빨리 하지 않으면\n레슨 시간이 되어 버립니닷
今度のお休みに、一緒に\n日向ぼっこしませんか？,이번 휴가에、함께\n햇볕쬐지 않겠습니까?
ほわぁ……、\nマッサージですか？\n気持ちいいです……,호와아……、\n맛사지입니까? \n기분 좋습니다…
ふふっ、\nくすぐったいですよっ,후훗、\n낯간지러워요
ひゃっ！？　……あっ\nプロデューサーさんでしたか\n少しびっくりしちゃいました,햣!? …… 아\n프로듀서씨였습니까\n조금 깜짝 놀랐습니다
プロデューサーさん……？\nあ、あの……えっと,프로듀서씨……? \n아、저…… 엣또
もう……\n恥ずかしいですよ、\nプロデューサーさん……,이제……\n부끄러워요、\n프로듀서씨……
ひゃぁっ！\nく、くすぐったいです……\nプロデューサーさん,햐앗! \n나、낯간지럽습니다… \n프로듀서씨
お疲れ様です、プロデューサーさん\n今日もいっぱい頑張りますね♡,﻿수고 하셨습니다、프로듀서씨\n오늘도 가득 노력하네요♡
今日はどんなドキドキが\n待ってるんだろう……\nとっても楽しみです,오늘은 어떤 두근두근함이\n기다리고 있을 것인지……\n매우 즐겁습니다
アイドルのお仕事、すごく楽しいです\nもっといろんなことがしてみたいな♡,아이돌의 일、굉장히 즐겁습니다\n좀 더 여러가지 일을 해 보고 싶어라♡
プロデューサーさん、\nそこにいますか……？,프로듀서씨、\n거기에 있습니까……?
ふゆ、寂しいのは苦手です……\nプロデューサーさん……,후유、외로운 것은 서투릅니다……\n프로듀서씨……
……いない？\nいないんですか？\n……はぁー……,…… 없어? \n없습니까? \n…… 하아─……
きゃ……っ\n……ふゆも触り返しちゃいますよ、えーい！,꺄……\n…… 후유도 만져버려요、에이!
プロデューサーさん……\nふゆ、こういうのは……その……,프로듀서씨……\n후유、이런 것은…… 그……
ふゆなんて触っても楽しくないですよ……,후유는 만져도 즐겁지 않아요……
ざっけ……\n……や、やーん、どうしたんですか？,자……\n……야─양、무슨 일이에요?
……何してるんですか？,…… 뭐 하고 있습니까?
こんなことをするために、\nふゆをアイドルにしたんですか……？,이런 일을 하기 위해서、\n후유를 아이돌로 한 것입니까……?
なんか今日は、いいことがありそうな……,뭔가 오늘은、좋은 일이 있을 듯 한……
なんでもいいけど\n今日もよろしく,뭐든 좋지만\n오늘도 잘 부탁해
それで、\n今日は何をすればいいんだよ,그래서、\n오늘은 무엇을 하면 되는데
やることがあるなら\n早く言えよな,할일이 있다면\n빨리 말해줘
しっかりしろよ\nなにボ－っとしてんだ？,정신차려\n뭘 멍하니 있어?
なんだ？\nバスケの試合、\nテレビでやってんのか……,뭐야? \n농구 시합、\nTV로 하는 건가……
ふわぁ……\nなんか眠くなってきた……,후와아……\n어쩐지 졸려졌어……
ちょっ、いきなりなんだよ！,잠ㄲ、갑자기 뭐야!
わっ！\nテメ－気安く触んな！,왓! \n얌마 가볍게 만지지마!
……おい、怒るぞ？,…… 어이、화낸다?
おいっ、ふざけんな！\n何考えてんだアンタは！,어이、장난치지마! \n대체 무슨 생각이야 넌!
わっ、ちょっ、おいっ！\nどこ触ってんだよっ！,왓、잠ㄲ、어이! \n어딜 손 대는 거야!
サイテ－な野郎だな！\n次やったら\nマジで許さね－ぞ！,형편없는 자식이네! \n다음에 하면\n진짜로 용서 안할거야─!
今日はなんか掴めそうな気がすんだよな……,오늘은 뭔가 달성할 거 같은 기분이 드네……
プロデューサーさま、\n凛世を、お導きください……,프로듀서님、\n린제를、인도해주세요……
本日は、何を、いたしましょう……,오늘은、무엇을、해 볼까요……
プロデューサーさま……\n本日も、お傍で、勉強いたします……,프로듀서님……\n오늘도、옆에서、공부하겠습니다……
プロデューサーさま……\nどちらに、いらっしゃいますか……,프로듀서님……\n어느 쪽에、계십니까……
凛世は、プロデューサーさまを、\nお待ちしております……,린제는、프로듀서님을、\n기다리고 있습니다……
プロデューサーさま……\nお疲れで、いらっしゃいますか……,프로듀서님……\n피로하게、계십니까……
プロデューサーさま\n少し、困ります……,프로듀서님\n조금、곤란합니다……
プロデューサーさま\n驚きますゆえ……\nどうか、ご容赦を……,프로듀서님\n놀랐기 때문에……\n부디 용서를……
プロデューサーさま……\n身体ではなく、手を……温めていただけますか,프로듀서님……\n몸이 아니라、손을…… 따뜻하게 해 주시겠어요
いくら、貴方さまでも……\nそれは、なりません……\nご自制なさってください,아무리、당신이라도……\n그것은、안됩니다……\n자제해 주세요
……凛世は、悲しいです……,…… 린제는、슬픕니다……
……そのようなことをなさる、御方だったのですか？,…… 그러한 일을 하시는、분이었던 것입니까?
何かが、掴めそうな……気がいたします,뭔가、잡을 수 있을 것 같은…… 기분이 듭니다
今日のお仕事は何かしら,오늘의 일은 뭐죠?
今日も鍛錬あるのみよ\nさあ、レッスンしましょう！,오늘도 단련이 있을 뿐\n자、레슨합시다!
やる気はいつも充分よ！\n今日も頑張るわ！,의욕은 언제나 충분해요!\n오늘도 열심히 할 거에요!
いつでも動けるように\nウォーミングアップをしておかなきゃいけないわね,언제라도 움직일 수 있도록\n워밍업을 해 두지 않으면 안 되겠네요
もっともっと努力しないと\nトップアイドルにはなれないわ！,계속 노력하지 않는다면\n톱 아이돌이 될 수 없어요!
トレーニングはいつでも、どんなところでもできるのよ！,트레이닝은 언제든、어디서든 할 수 있는 거예요!
ちょっと！　何するのよ！,잠깐! 뭘 하는 거에요!
……アナタ、どういうつもり？,…… 당신、무슨 속셈이에요?
こういうことはやめて頂戴,이런 짓은 그만해줘요
信じられないわ……,믿을 수 없어요……
……失望したわね,…… 실망했어요
……何を考えているのか、説明してもらえる？,…… 대체 무슨 생각인지、설명해 주시겠어요?
今日は何か掴めそうな気がするわ……,오늘은 무언가를 잡을 수 있을 것 같다는 생각이 들어요……
やっほー\n今日もよろしくね☆\nプロデューサーさん！,―\n오늘도 잘 부탁해☆\n프로듀서씨!
今日はレッスン？\nそれともお仕事かな？,오늘은 레슨? \n그렇지 않으면 일일까?
今日の調子もまーまーってところかな\n頑張っていこうね,오늘의 상태─라는 것일까\n노력해 가자
お、このファッション雑誌いい感じかも！\n後で読ませてもらうね,오、이 패션 잡지 좋은 느낌일지도! \n다음에 읽을게요
まだ少し時間あるから、ネイルしてるね～,아직 조금 시간 있기 때문에、네일 하고 있어요~
甜花ちゃんどうしてるかな～\nプロデューサーさん知ってる？,텐카쨩 뭐 하고 있을까~\n프로듀서씨 알고 있어?
甜花ちゃん？\nあ、プロデューサーさんか,텐카쨩? \n아、프로듀서씨인가
プロデューサーさん？\n何かあったのかな？,프로듀서씨? \n뭔가 있었던가?
急に触られたら驚いちゃうから\n声かけてほしいなっ,갑자기 손대면 놀라기 때문에\n말 걸기를 원하는데
まさか、甜花ちゃんにも\nおんなじことしてないよね……？,설마、텐카쨩에게도\n이런 짓 하고 있지 않지요……?
プロデューサーさん……\nこういうことするんだ……,프로듀서씨……\n이런 일 한다……
やっていいこととダメなことがあると思うな,해도 좋은 일과 안될 일이 있다고 생각해
今日はなんか\n成長できる気がするんだー☆,오늘은 뭔가\n성장할 수 있다는 생각이 든다―☆
あ、プロデューサーさん……\n今日は……何をするの……？,아、프로듀서씨……\n오늘은…… 무엇을 하는 거야……?
あうぅ……\n事務所に来るの、疲れちゃった……,아우우……\n사무소에 오는 것、지친다……
甜花……今日は……\nどうすればいい……？,텐카…… 오늘은……\n뭘 하면 돼……?
あ、あれ……プロデューサーさん……いるの……？,저、저기…… 프로듀서씨…… 있어……?
今日は……お休みかな……？,오늘은…… 휴가일까……?
甜花……ひとりだと……\n何もできない……,텐카…… 혼자라면……\n아무것도 할 수 없다……
これ……\nお仕事、なの……？,이거……\n일、이야……?
甜花……それ、こ、困る……,텐카…… 그거、고、곤란하다……
プ、プロデューサーさん……\nどう、したの……？,프、프로듀서씨……\n뭐、했어……?
あう……それは……\nや、やだ……,아우…… 그건……\n나、싫어……
え……？\nええ……？？,에……? \n에에……??
そこは……\nプロデューサーさんでも、\nダメ……,거기는……\n프로듀서씨라도、\n안돼……
甜花……新しいことが、できそう……,텐카…… 새로운 일을、할 수 있을 것 같다……
ふふ、今日もレッスンがんばります♪,후후、오늘도 레슨 노력하겠습니다♪
おはようございます\n……え？　つ、疲れてなんてないですよ〜,안녕하세요 \n…… 에? 피、피곤하지 않아요~
プロデューサーさん、何か繕い物はないですか？,프로듀서씨、뭔가 수선이 필요한 것은 없습니까?
プロデューサーさ〜ん……\nあれ……？,프로듀서씨……\n어라……?
プロデューサーさん\n小物を買うときは、連れていってくださいね？,프로듀서씨\n소품을 살 때는、데려가 주세요?
プロデューサーさん\n眉間にしわが寄ってますよ？,프로듀서씨\n미간에 주름이 모이고 있어요?
……プロデューサーさん、\n女の子に急に触っちゃ、だめなんですよ？,…… 프로듀서씨、\n여자 아이에게 갑자기 손대서는、안됩니다?
きゃっ！\nび……びっくりしました,꺗! \n…… 깜짝 놀랐습니다
こ～ら、プロデューサーさん\nそういうのはダメです,이런、프로듀서씨\n그런 짓은 안됩니다
プ、プロデューサーさん？　どうされたんですか？,프、프로듀서씨? 뭘 하신 것입니까?
や、やめないと怒っちゃいますよ？,그、그만두지 않는다면 화내 버려요?
プロデューサーさんは\nそんな人じゃない……ですよね……？,프로듀서씨는\n그런 사람이 아니…… 지요……?
今なら、何かが掴めそうな……,지금이라면、뭔가 잡을 수 있을 것 같은……
あ！\nおはよっす！,아! \n안녕임니다!
今日は何をするっす？,오늘은 무엇을 함니다?
何か面白いこと\nないっすかね～,뭔가 재미있는 일\n없슴니까~
それっ！\nあ、靴飛ばしたら\n立ったっす！,그거! \n아、신발 날리면\n섰슴니다!
あ！　今何か光ったっすよ！\n窓の外！,아! 지금 뭔가 빛난 것임요! \n창 밖!
む～……\n何も起きないっす～,무~……\n아무것도 일어나지 않슴니다~
ん？　どうかしたんすか？,응? 뭘 한 것임니까?
プロデューサーさんも\n退屈なんすか？,프로듀서씨도\n지루함니까?
わっ！\nもー、急になんなんすか？,왓! \n도―、갑자기 무엇임니까?
えっ？　何してるんすか？,엣? 뭐 하고 있슴니까?
これ、なんの意味が\nあるんすか？,이것、무슨 의미가\n있슴니까?
ん～……なんか嫌な感じっす,응~…… 뭔가 싫은 느낌임니다
今日はなんか起きる気がするっす～,오늘은 뭔가 일어날 것 같은 기분이 듬니다~
今日のレッスンは\nなんですか？,오늘의 레슨은\n무엇임니까?
ヒーローのお仕事なら\nあたしに任せてくださいっ！,히어로의 일이라면\n나에게 맡겨 주세욧!
今日も元気いっぱい\n頑張りますっ！,오늘도 활기차게\n노력하겠습니닷!
プロデューサーさん\nどうかしましたか？,프로듀서씨\n뭘 했습니까?
うーん\n何をすれば\n良いんでしょう…？,응\n무엇을 하면\n좋겠지요…?
しゅつどうよーせーがあるまで、司令部で待機ですね！,출동이야─는─ 있을 때까지、사령부에서 대기군요!
わっ！\nすみません\nぶつかっちゃいましたね,왓! \n미안합니다\n부딪쳐 버렸어요
わわっ！\n……びっくりしたぁ,와왓! \n…… 깜짝 놀랐다아
ヒーローになるための特訓、\nちゃんと身についてますか？,히어로가 되기 위한 특훈、\n제대로 몸에 배어 있습니까?
あの……\nプロデューサーさん\nどうしましたか……？,저……\n프로듀서씨\n무슨 일입니까……?
あっ、ごめんなさい\nぶつかっちゃいましたか？,앗、미안해요\n부딪쳐 버렸습니까?
ふえっ……？\nあっもしかしてマメ丸の毛が\nついてましたか？,후엣……? \n아혹시 마메마루의 털이\n붙어 있었습니까?
今日はなんだかいいことが\n思いつきそうです！,오늘은 왠지 좋은 일이\n생각날 것 같습니다!
お花に……水をあげないと……,꽃에…… 물을 주지 않으면……
ご、ご気分は……どうでしょう……？,기、기분은…… 어떻습니까……?
ケ……ケガをしてるわけでは……\nないんです……,케…… 상처를 입고 있는 것은……\n없습니다……
プ、プロデューサーさん\nわたしは……ここにいます……,프、프로듀서씨\n나는…… 여기에 있습니다……
す……すみません……\nどうされてるか不安になって……,미…… 미안합니다……\n어떻게 하시고 있을지 불안해서……
……ちょっと……包帯を直してきますね,…… 조금…… 붕대를 고쳐 올게요
あっ……\nほ、包帯……ほどけてましたか？,앗……\n、붕대…… 풀리고 있습니까?
な、何か……\nご用でしょうか……？,무、뭔가……\n용건입니까……?
ふぁっ……！\n……お、脅かさないでください……,후앗……! \n…… 위、위협하지 말아 주세요……
わ、わわ……！,와、와와……!
ど、どうされましたか……,뭐、뭘 하셨습니까……
こ、これは……\n何かの……罰……なんでしょうか……,이、이것은……\n뭔가의…… 벌…… 입니까……
何かが……生まれそうなんです……！,무슨 일이…… 생길 것 같습니다……!
お疲れ様です\n今日もよろしくお願いします,수고 하셨습니다\n오늘도 잘 부탁드립니다
プロデューサー、今日の予定はどうなっていますか？,프로듀서、오늘의 예정은 어떻게 되어 있습니까?
こんにちは、プロデューサー,안녕하세요、프로듀서
プロデューサー？\n私の話、聞いてますか？,프로듀서? \n나의 이야기、듣고 있습니까?
努力しても努力しても、\nし足りないんです,노력해도 노력해도、\n부족합니다
あとどのくらい頑張ったら、\n理想の自分に\nなれるんでしょうか……,앞으로 어느 정도 노력하면、\n이상적인 자신이\n될 수 있는 것입니까……
……何か用なんですか？,…… 뭔가 용무입니까?
……触らないでください,…… 손대지 말아 주세요
……私に触る必要性、ありますか？,…… 나에게 손댈 필요성、있습니까?
やめてください！,그만두어 주세요!
今のって……\nわざと、ですよね？,지금……\n일부러、그러는군요?
ちょっ……\nいい加減にしてください,춋……\n적당히 해 주세요
うーん、あとちょっとで何かが掴めそうなんですが,응、이제 조금 뭔가 잡을 수 있을 것 같습니다만
今日はどんなことするのか、\n楽しみだよー！,오늘은 어떤 일 할지、\n즐거워요!
やっほー！\nプロデューサー！,얏호─! \n프로듀서!
今日も頑張るぞー！,오늘도 노력하겠어―!
みんな今ごろ何してるかな？,모두 지금쯤 뭐 하고 있을까나?
アイドルのお仕事も友達の助っ人も、どっちも頑張りたいんだぁ,아이돌의 일도 친구 돕는 것도、양쪽다 노력하고 싶다아
みんなともっと\n仲良くなりたいなー！,모두와 좀 더\n사이가 좋아지고 싶구나!
ちょっと、\nプロデューサー？\nこれはだめだよー,좀、\n프로듀서? \n이건 안돼
きゃっ！\nび、びっくりしたぁー,꺗! \n、깜짝 놀랐다아─
もう、プロデューサーたら！\nやめてって言ってるのに！,이제、프로듀서도 참! \n그만두라고 말하고 있는데!
……理由を聞いてもいいかな？,…… 이유를 물어도 괜찮을까?
今のはちょっと許せないかも……,지금 것은 좀 용서할 수 없을지도……
プロデューサーって、そういう人だったっけ……？,프로듀서는、그런 사람이었던가……?
今日は何か掴めそう！,오늘은 뭔가 잡을 수 있을 것 같다!
お疲れ様ー\n今日も張り切っていくばい！,수고 하셨습니다─\n오늘도 힘내서 갈거양!
今日は\nどげんレッスンすると？,오늘은\n어떤 레슨 행?
今日もうち、\nいろんなことに\n挑戦したかー！,오늘도 나、\n여러가지 일에\n도전한당께―!
プロデューサー？\nてっきり居眠りかと\n思ったばい,프로듀서? \n곤히 졸고 있는건가 하는\n생각이었엉
プロデューサー\nいつでも準備\nできとるけんね！,프로듀서\n언제라도 준비\n할 수 있으니껬넹!
うちの料理は世界一！\n寮のみんなにも評判なんよ！,내 요리는 세계 제일! \n기숙사의 모두에게도 평판이 좋앙!
プロデューサー\n言ってくれればわかるけん\nそんなに触ることなか,프로듀서\n말해 주면 알 수 있으니까\n그렇게 손대는 것 안됭
ちょ、そんな\nベタベタせんで良かって:  그런\n끈적끈적안하는게 좋은뎅
もー、いいかげんにせんば\nいかんよ？\nプロデューサー,아이참─、적당히 \n안돼? \n프로듀서
……そげんのはやめんね,…… 닳는거는 그만행
プロデューサー……\n見損なったばい……,프로듀서……\n잘못보았당……
うちも、気にしとるけん\n触らんでよ……,나도、신경거슬리니껭\n손대지 말앙……
なんかが掴めそうたい！,뭔가를 잡을 수 있을 거 같앙!
プロデューサー\n私のことをやる気に\nしてくださぁい,프로듀서\n나의 일 마음껏\n해 주세요
私、何でもフツーにできるんでー\nサボってもいいですかぁ？,나、뭐든지 평범하게 할 수 있기 때문에―\n게으름 피워도 괜찮습니까?
今日は忙しいんですー\nもう帰っていいですかぁ？,오늘은 바쁩니다―\n이제 돌아가도 좋습니까?
今のうちに次にするイタズラ\n考えておきますねー,지금 다음에 할 장난\n생각해 두네요―
ふわぁ……\nやることないと、眠いですねー,후와아……\n할일 없으면、졸리네요─
私が急に事務所に\nこなくなったらぁ\nどうしますー？,내가 갑자기 사무소에\n오지않으면\n어떻게 합니까─?
何するんですかぁ\nやめてほしいんですケドー,뭐 합니까\n그만했으면 좋겠어요 케도
女の子にー軽々しく触っちゃ\nダメだと思いまーす,여자 아이에게─경솔하게 손대어서는 \n안된다고 생각합니다
触らないでくださいー\n私、もう来ませんよー？,손대지 말아 주세요―\n나、이제 오지 않아요─?
気分を害しましたぁ,기분을 해쳤습니다아
最っ低ですねー,최저군요─
幻滅ですー\n変態さんだったんですねー,환멸입니다―\n변태씨였던 것이군요─
んー、何かが掴めそうな予感がするかもー,응─、뭔가를 잡을 수 있을 것 같은 예감이 들지도―
今日も頑張っていこう、プロデューサー,오늘도 열심히 가자、프로듀서
今日は何をするんだい？\nレッスン、お仕事……なんでも言ってくれ,오늘은 무엇을 하지? \n레슨、영업…… 뭐든지 말해 줘
プロデューサー、調子はどうだい？,프로듀서、상태는 어때?
ぼんやりしてどうしたんだい？,멍하니 있고 무슨 일이야?
ふぅ、さてどうしたものかな？,후우、그런데 어떻게 해야 할까?
みんなが喜ぶ私になるには\nどうしたらいいんだろう,모두가 기뻐하는 내가 되려면\n어떻게 하면 좋을까
おっと……\n何をしてるのかな？,어이쿠……\n무엇을 하는걸까?
アナタとはいえ、許さないよ？,당신이라고 해도、용서 안할거야?
そんなことをして\n私をどうしたいのかな？,그런 일을 해서\n나를 어떻게 하고 싶은 걸까?
そういうのはちょっと……\nどうかと思うのだけどね,그런 건 조금……\n어떨까라고 생각하는 데 말야
……これがアナタの仕事なのかい？,……이것이 당신의 일인 거야?
正直に言って、ショックだよ,솔직하게 말해、쇼크야
あと少しで、何か掴めそうな気がするんだけれどね,앞으로 조금으로、뭔가 달성할 수 있을 것 같은 기분이 드네
実はアイドルというのはドッ\nキリでした！　とか言うなら\n今のうちだけど……平気？,실은 아이돌이라고 한 건\n깜짝!이었다!라든가 말한다면\n지금뿐이지만… 괜찮아?
お、プロデューサーだ\n三峰は今日も元気に\n頑張りますよー,오、프로듀서다\n미츠미네는 오늘도 기운차게\n노력해요
さってとー？\n三峰のPはどんなお仕事を\n魅せてくれるのかなー？,그런데―?\n미츠미네의 P는 어떤 일을\n매료시켜 줄까나?
どしたのプロデューサー\nぼーっとしちゃって,무슨 일이야 프로듀서\n멍─하니 있고
プロデューサー？\n無視はよくないと思いまーす,프로듀서? \n무시는 좋지 않다고 생각합니다
うーん……今日はやること\nないのかねぇ……,응…… 오늘은 할 것\n없는 걸까……
ちょっとプロデューサー……\n女の子に気安く触るのは\nどうかと思う……,조금 프로듀서……\n여자아이에게 거리낌없이 손대는건\n어떨까라고 생각한다…
理想と現実の区別は\nきちんとつけといたほうが\nいいと思うよ？,이상과 현실의 구별은\n제대로 하는 편이\n좋다고 생각해?
うひゃ！？　タンマタンマ！\nお触りは禁止でしょ！\n常識的に考えて！,우햐!? 탄마탄마! \n만지는건 금지겠지! \n상식적으로 생각해!
出るとこ出る？　謝っとく？\n好きなほうでいいよ？,공식적으로 고발할까? 아니면 사과할래? \n어느 쪽이 좋아?
や、さすがにないわー……,야、역시 아니야―……
……それで？\nほんの出来心で、とか\n言っちゃう感じです？,…… 그래서? \n그저 흑심으로\n이런 말하는 느낌입니다?
三峰、新発見の予感……！,미츠미네、새로운 발견의 예감……!
よろしくお願いしますね、\nプロデューサーさん！,잘 부탁드려요、\n프로듀서씨!
レッスンでもお仕事でも\n一生懸命頑張ります！,레슨도 영업도\n열심히 노력하겠습니다!
チョコに絡めた何かが\nできるといいなー……！,초콜렛에 얽힌 뭔가가\n생겼으면 좋겠다……!
プロデュ―サーさん、\nどうかしました？,프로듀서씨、\n어떻게 했습니까?
このままじっとしてても\nいいんでしょうか……？,이대로 가만히 있어도\n좋을까요……?
プロデュ―サーさ～ん、\n聞こえてますか～？,프로듀서씨、\n들리고 있습니까~?
プロデューサーさんっ\nこういうのはよくないです！,프로듀서씨\n이런 것은 좋지 않습니다!
私で遊ばないでください！\n怒りますよ！,나를 놀리지 말아 주세요! \n화내요!
一応アイドルですし、私困っちゃいます……,일단 아이돌이고、나 곤란합니다……
……やっていいことと\n悪いことってあるんですよ,…… 해도 좋은 일과\n나쁜 일이 있습니다
ひゃっ……！？\nや、やめてくださいっ……！,햣……!? \n나、그만두어 주세욧……!
えっ……,엣……
今日は何かがありそうな予感……！,오늘은 뭔가가 있을 듯한 예감……!
むんっ、\n今日も頑張りましょうっ,무읏、\n오늘도 노력합시다
こんにちは、プロデューサーさんっ,안녕하세요、프로듀서씨
